isic_rev3_4dig;isic_rev3_secdig
111;"A"
112;"A"
113;"A"
121;"A"
122;"A"
130;"A"
140;"A"
150;"A"
200;"A"
500;"B"
1010;"C"
1020;"C"
1030;"C"
1110;"C"
1120;"C"
1200;"C"
1310;"C"
1320;"C"
1410;"C"
1421;"C"
1422;"C"
1429;"C"
1511;"D"
1512;"D"
1513;"D"
1514;"D"
1520;"D"
1531;"D"
1532;"D"
1533;"D"
1541;"D"
1542;"D"
1543;"D"
1544;"D"
1549;"D"
1551;"D"
1552;"D"
1553;"D"
1554;"D"
1600;"D"
1711;"D"
1712;"D"
1721;"D"
1722;"D"
1723;"D"
1729;"D"
1730;"D"
1810;"D"
1820;"D"
1911;"D"
1912;"D"
1920;"D"
2010;"D"
2021;"D"
2022;"D"
2023;"D"
2029;"D"
2101;"D"
2102;"D"
2109;"D"
2211;"D"
2212;"D"
2213;"D"
2219;"D"
2221;"D"
2222;"D"
2230;"D"
2310;"D"
2320;"D"
2330;"D"
2411;"D"
2412;"D"
2413;"D"
2421;"D"
2422;"D"
2423;"D"
2424;"D"
2429;"D"
2430;"D"
2511;"D"
2519;"D"
2520;"D"
2610;"D"
2691;"D"
2692;"D"
2693;"D"
2694;"D"
2695;"D"
2696;"D"
2699;"D"
2710;"D"
2720;"D"
2731;"D"
2732;"D"
2811;"D"
2812;"D"
2813;"D"
2891;"D"
2892;"D"
2893;"D"
2899;"D"
2911;"D"
2912;"D"
2913;"D"
2914;"D"
2915;"D"
2919;"D"
2921;"D"
2922;"D"
2923;"D"
2924;"D"
2925;"D"
2926;"D"
2927;"D"
2929;"D"
2930;"D"
3000;"D"
3110;"D"
3120;"D"
3130;"D"
3140;"D"
3150;"D"
3190;"D"
3210;"D"
3220;"D"
3230;"D"
3311;"D"
3312;"D"
3313;"D"
3320;"D"
3330;"D"
3410;"D"
3420;"D"
3430;"D"
3511;"D"
3512;"D"
3520;"D"
3530;"D"
3591;"D"
3592;"D"
3599;"D"
3610;"D"
3691;"D"
3692;"D"
3693;"D"
3694;"D"
3699;"D"
3710;"D"
3720;"D"
4010;"E"
4020;"E"
4030;"E"
4100;"E"
4510;"F"
4520;"F"
4530;"F"
4540;"F"
4550;"F"
5010;"G"
5020;"G"
5030;"G"
5040;"G"
5050;"G"
5110;"G"
5121;"G"
5122;"G"
5131;"G"
5139;"G"
5141;"G"
5142;"G"
5143;"G"
5149;"G"
5150;"G"
5190;"G"
5211;"G"
5219;"G"
5220;"G"
5231;"G"
5232;"G"
5233;"G"
5234;"G"
5239;"G"
5240;"G"
5251;"G"
5252;"G"
5259;"G"
5260;"G"
5510;"H"
5520;"H"
6010;"I"
6021;"I"
6022;"I"
6023;"I"
6030;"I"
6110;"I"
6120;"I"
6210;"I"
6220;"I"
6301;"I"
6302;"I"
6303;"I"
6304;"I"
6309;"I"
6411;"I"
6412;"I"
6420;"I"
6511;"J"
6519;"J"
6591;"J"
6592;"J"
6599;"J"
6601;"J"
6602;"J"
6603;"J"
6711;"J"
6712;"J"
6719;"J"
6720;"J"
7010;"K"
7020;"K"
7111;"K"
7112;"K"
7113;"K"
7121;"K"
7122;"K"
7123;"K"
7129;"K"
7130;"K"
7210;"K"
7220;"K"
7230;"K"
7240;"K"
7250;"K"
7290;"K"
7310;"K"
7320;"K"
7411;"K"
7412;"K"
7413;"K"
7414;"K"
7421;"K"
7422;"K"
7430;"K"
7491;"K"
7492;"K"
7493;"K"
7494;"K"
7495;"K"
7499;"K"
7511;"L"
7512;"L"
7513;"L"
7514;"L"
7521;"L"
7522;"L"
7523;"L"
7530;"L"
8010;"M"
8021;"M"
8022;"M"
8030;"M"
8090;"M"
8511;"N"
8512;"N"
8519;"N"
8520;"N"
8531;"N"
8532;"N"
9000;"O"
9111;"O"
9112;"O"
9120;"O"
9191;"O"
9192;"O"
9199;"O"
9211;"O"
9212;"O"
9213;"O"
9214;"O"
9219;"O"
9220;"O"
9231;"O"
9232;"O"
9233;"O"
9241;"O"
9249;"O"
9301;"O"
9302;"O"
9303;"O"
9309;"O"
9500;"P"
9900;"Q"
