isic_rev2_4dig;isic_rev2_secdig;isic_rev2_1dig;isic_rev2_2dig;isic_rev2_3dig;isic_rev4_4dig;isic_rev4_secdig;isic_rev4_1dig;isic_rev4_2dig;isic_rev4_3dig
1110;"C";1;11;111;111;"A";0;1;11
1110;"C";1;11;111;112;"A";0;1;11
1110;"C";1;11;111;113;"A";0;1;11
1110;"C";1;11;111;114;"A";0;1;11
1110;"C";1;11;111;115;"A";0;1;11
1110;"C";1;11;111;116;"A";0;1;11
1110;"C";1;11;111;119;"A";0;1;11
1110;"C";1;11;111;121;"A";0;1;12
1110;"C";1;11;111;122;"A";0;1;12
1110;"C";1;11;111;123;"A";0;1;12
1110;"C";1;11;111;124;"A";0;1;12
1110;"C";1;11;111;125;"A";0;1;12
1110;"C";1;11;111;126;"A";0;1;12
1110;"C";1;11;111;127;"A";0;1;12
1110;"C";1;11;111;128;"A";0;1;12
1110;"C";1;11;111;129;"A";0;1;12
1110;"C";1;11;111;130;"A";0;1;13
1110;"C";1;11;111;141;"A";0;1;14
1110;"C";1;11;111;142;"A";0;1;14
1110;"C";1;11;111;143;"A";0;1;14
1110;"C";1;11;111;144;"A";0;1;14
1110;"C";1;11;111;145;"A";0;1;14
1110;"C";1;11;111;146;"A";0;1;14
1110;"C";1;11;111;149;"A";0;1;14
1110;"C";1;11;111;150;"A";0;1;15
1110;"C";1;11;111;161;"A";0;1;16
1110;"C";1;11;111;162;"A";0;1;16
1110;"C";1;11;111;163;"A";0;1;16
1110;"C";1;11;111;164;"A";0;1;16
1110;"C";1;11;111;210;"A";0;2;21
1110;"C";1;11;111;220;"A";0;2;22
1110;"C";1;11;111;230;"A";0;2;23
1110;"C";1;11;111;240;"A";0;2;24
1110;"C";1;11;111;321;"A";0;3;32
1110;"C";1;11;111;322;"A";0;3;32
1110;"C";1;11;111;1102;"C";1;11;110
1110;"C";1;11;111;8130;"N";8;81;813
1120;"C";1;11;112;143;"A";0;1;14
1120;"C";1;11;112;145;"A";0;1;14
1120;"C";1;11;112;146;"A";0;1;14
1120;"C";1;11;112;149;"A";0;1;14
1120;"C";1;11;112;161;"A";0;1;16
1120;"C";1;11;112;162;"A";0;1;16
1120;"C";1;11;112;163;"A";0;1;16
1120;"C";1;11;112;164;"A";0;1;16
1120;"C";1;11;112;321;"A";0;3;32
1120;"C";1;11;112;322;"A";0;3;32
1120;"C";1;11;112;7010;"M";7;70;701
1120;"C";1;11;112;7020;"M";7;70;702
1120;"C";1;11;112;7490;"M";7;74;749
1120;"C";1;11;112;8130;"N";8;81;813
1120;"C";1;11;112;8550;"P";8;85;855
1130;;;;;170;"A";0;1;17
1130;;;;;9499;"S";9;94;949
1210;;;;;113;"A";0;1;11
1210;;;;;119;"A";0;1;11
1210;;;;;125;"A";0;1;12
1210;;;;;128;"A";0;1;12
1210;;;;;129;"A";0;1;12
1210;;;;;130;"A";0;1;13
1210;;;;;210;"A";0;2;21
1210;;;;;220;"A";0;2;22
1210;;;;;230;"A";0;2;23
1210;;;;;240;"A";0;2;24
1220;;;;;129;"A";0;1;12
1220;;;;;130;"A";0;1;13
1220;;;;;210;"A";0;2;21
1220;;;;;220;"A";0;2;22
1220;;;;;230;"A";0;2;23
1220;;;;;240;"A";0;2;24
1301;;;;;170;"A";0;1;17
1301;;;;;311;"A";0;3;31
1301;;;;;312;"A";0;3;31
1301;;;;;9499;"S";9;94;949
1302;;;;;143;"A";0;1;14
1302;;;;;145;"A";0;1;14
