isic_rev2_4dig;isic_rev3_4dig;isic_rev2_secdig;isic_rev3_secdig
1110;111;"C";"A"
1210;112;;"A"
1110;112;"C";"A"
1110;113;"C";"A"
1110;121;"C";"A"
1120;122;"C";"A"
1110;122;"C";"A"
1302;122;;"A"
1110;130;"C";"A"
9332;140;;"A"
5000;140;;"A"
4101;140;;"A"
8329;140;;"A"
9490;140;;"A"
3211;140;;"A"
1120;140;"C";"A"
1110;140;"C";"A"
1302;150;;"A"
1301;150;;"A"
1130;150;;"A"
1210;200;;"A"
1220;200;;"A"
1110;200;"C";"A"
1302;500;;"B"
1301;500;;"B"
3540;1010;;"C"
2200;1010;;"C"
2100;1010;;"C"
2100;1020;;"C"
3540;1020;;"C"
2909;1030;;"C"
3699;1030;"D";"C"
2200;1110;;"C"
2200;1120;;"C"
5000;1120;;"C"
2302;1200;;"C"
2301;1310;;"C"
2302;1320;;"C"
2901;1410;;"C"
2909;1410;;"C"
2902;1421;;"C"
2903;1422;;"C"
2909;1429;;"C"
2901;1429;;"C"
3115;1511;;"D"
3111;1511;;"D"
3115;1512;;"D"
3114;1512;;"D"
3113;1513;;"D"
3116;1513;;"D"
3121;1513;;"D"
3115;1514;;"D"
3112;1520;;"D"
3122;1531;;"D"
3116;1531;;"D"
3121;1532;;"D"
3116;1532;;"D"
3115;1532;;"D"
3122;1533;;"D"
3117;1541;;"D"
3118;1542;;"D"
3121;1542;;"D"
3119;1543;;"D"
3121;1543;;"D"
3121;1544;;"D"
3117;1544;;"D"
3121;1549;;"D"
3119;1549;;"D"
3111;1549;;"D"
3114;1549;;"D"
3113;1549;;"D"
3131;1551;;"D"
3132;1552;;"D"
3133;1553;;"D"
3134;1554;;"D"
3140;1600;"D";"D"
3211;1711;;"D"
3219;1712;;"D"
3211;1712;;"D"
3212;1721;;"D"
3213;1721;;"D"
3320;1721;"D";"D"
3214;1722;;"D"
3215;1723;;"D"
3211;1729;;"D"
3851;1729;;"D"
3219;1729;;"D"
3909;1729;;"D"
3213;1730;;"D"
3212;1810;;"D"
3909;1810;;"D"
3220;1810;"D";"D"
3220;1820;"D";"D"
3232;1820;;"D"
3219;1820;;"D"
3231;1911;;"D"
3233;1912;;"D"
3909;1912;;"D"
3559;1920;;"D"
3319;1920;;"D"
3560;1920;;"D"
3419;1920;;"D"
3240;1920;;"D"
3319;2010;;"D"
3311;2010;"D";"D"
3411;2021;;"D"
3311;2021;"D";"D"
3311;2022;"D";"D"
3312;2023;"D";"D"
3311;2023;"D";"D"
3320;2029;"D";"D"
3312;2029;"D";"D"
3319;2029;;"D"
3214;2029;;"D"
3419;2101;;"D"
3411;2101;;"D"
3909;2101;;"D"
3411;2102;;"D"
3412;2102;;"D"
3419;2109;;"D"
3420;2109;"D";"D"
3909;2109;;"D"
3412;2109;;"D"
3420;2211;"D";"D"
3420;2212;"D";"D"
3832;2213;;"D"
3420;2219;"D";"D"
3420;2221;"D";"D"
3909;2221;;"D"
3420;2222;"D";"D"
9411;2230;;"D"
3832;2230;;"D"
3540;2310;;"D"
3530;2320;"D";"D"
3540;2320;;"D"
3511;2330;"D";"D"
3511;2411;"D";"D"
3512;2412;"D";"D"
3511;2412;"D";"D"
3513;2413;;"D"
3512;2421;"D";"D"
3529;2422;;"D"
3521;2422;;"D"
3909;2422;;"D"
3522;2423;;"D"
3851;2423;;"D"
3523;2424;;"D"
3529;2424;;"D"
3121;2429;;"D"
3559;2429;;"D"
3529;2429;;"D"
3511;2429;"D";"D"
3560;2429;;"D"
3211;2430;;"D"
3513;2430;;"D"
3551;2511;;"D"
3559;2519;;"D"
3851;2519;;"D"
3551;2519;;"D"
3513;2519;;"D"
3513;2520;;"D"
3212;2520;;"D"
3560;2520;;"D"
3699;2610;"D";"D"
3620;2610;;"D"
3211;2610;;"D"
3610;2691;"D";"D"
3699;2692;"D";"D"
3691;2692;"D";"D"
3691;2693;"D";"D"
3692;2694;"D";"D"
3699;2695;"D";"D"
3699;2696;"D";"D"
