isic_rev4_4dig;isic_rev31_4dig;isic_rev4_secdig;isic_rev31_secdig
111;111;"A";"A"
112;111;"A";"A"
113;111;"A";"A"
113;112;"A";"A"
114;111;"A";"A"
115;111;"A";"A"
116;111;"A";"A"
119;111;"A";"A"
119;112;"A";"A"
121;113;"A";"A"
122;113;"A";"A"
123;113;"A";"A"
124;113;"A";"A"
125;112;"A";"A"
125;113;"A";"A"
126;111;"A";"A"
126;113;"A";"A"
127;113;"A";"A"
128;111;"A";"A"
128;112;"A";"A"
128;113;"A";"A"
129;111;"A";"A"
129;112;"A";"A"
129;200;"A";"A"
130;112;"A";"A"
130;200;"A";"A"
141;121;"A";"A"
142;121;"A";"A"
143;122;"A";"A"
144;121;"A";"A"
145;122;"A";"A"
146;122;"A";"A"
149;122;"A";"A"
150;130;"A";"A"
161;140;"A";"A"
162;140;"A";"A"
162;2892;"A";"D"
163;111;"A";"A"
163;140;"A";"A"
164;140;"A";"A"
170;150;"A";"A"
210;200;"A";"A"
220;200;"A";"A"
230;112;"A";"A"
230;113;"A";"A"
230;200;"A";"A"
240;200;"A";"A"
311;501;"A";"B"
312;501;"A";"B"
321;122;"A";"A"
321;502;"A";"B"
322;122;"A";"A"
322;502;"A";"B"
510;1010;"B";"C"
520;1020;"B";"C"
610;1110;"B";"C"
620;1110;"B";"C"
710;1310;"B";"C"
721;1200;"B";"C"
729;1320;"B";"C"
810;1410;"B";"C"
810;1429;"B";"C"
891;1421;"B";"C"
892;1030;"B";"C"
893;1422;"B";"C"
899;1429;"B";"C"
910;1110;"B";"C"
910;1120;"B";"C"
910;7421;"B";"K"
990;1010;"B";"C"
990;1020;"B";"C"
990;1030;"B";"C"
990;1200;"B";"C"
990;1310;"B";"C"
990;1320;"B";"C"
990;1410;"B";"C"
990;1421;"B";"C"
990;1422;"B";"C"
990;1429;"B";"C"
990;4510;"B";"F"
990;7421;"B";"K"
1010;1511;"C";"D"
1020;1512;"C";"D"
1030;1513;"C";"D"
1030;1549;"C";"D"
1040;1514;"C";"D"
1050;1520;"C";"D"
1061;1531;"C";"D"
1062;1532;"C";"D"
1071;1541;"C";"D"
1071;1549;"C";"D"
1072;1542;"C";"D"
1073;1543;"C";"D"
1074;1544;"C";"D"
1075;1512;"C";"D"
1075;1513;"C";"D"
1075;1544;"C";"D"
1075;1549;"C";"D"
1079;1549;"C";"D"
1079;2429;"C";"D"
1080;1533;"C";"D"
1101;1551;"C";"D"
1102;113;"C";"A"
1102;1552;"C";"D"
1103;1553;"C";"D"
1104;1554;"C";"D"
1200;1600;"C";"D"
1311;1711;"C";"D"
1312;1711;"C";"D"
1312;2699;"C";"D"
1313;1712;"C";"D"
1313;1729;"C";"D"
1313;1810;"C";"D"
1391;1730;"C";"D"
1392;1721;"C";"D"
1392;3430;"C";"D"
1393;1722;"C";"D"
1394;1723;"C";"D"
1399;1729;"C";"D"
1399;3699;"C";"D"
1410;1810;"C";"D"
1420;1820;"C";"D"
1430;1730;"C";"D"
1511;1820;"C";"D"
1511;1911;"C";"D"
1512;1912;"C";"D"
1512;1920;"C";"D"
1512;3699;"C";"D"
1520;1920;"C";"D"
1610;2010;"C";"D"
