isic_rev3_4dig;isic_rev3_secdig;isic_rev4_4dig;isic_rev4_secdig
111;"A";111;"A"
111;"A";112;"A"
111;"A";113;"A"
111;"A";114;"A"
111;"A";115;"A"
111;"A";116;"A"
111;"A";119;"A"
111;"A";126;"A"
111;"A";128;"A"
111;"A";129;"A"
111;"A";163;"A"
112;"A";113;"A"
112;"A";119;"A"
112;"A";121;"A"
112;"A";122;"A"
112;"A";123;"A"
112;"A";124;"A"
112;"A";125;"A"
112;"A";126;"A"
112;"A";127;"A"
112;"A";128;"A"
112;"A";129;"A"
112;"A";130;"A"
112;"A";230;"A"
112;"A";1102;"C"
113;"A";121;"A"
113;"A";122;"A"
113;"A";123;"A"
113;"A";124;"A"
113;"A";125;"A"
113;"A";126;"A"
113;"A";127;"A"
113;"A";128;"A"
113;"A";230;"A"
113;"A";1102;"C"
121;"A";141;"A"
121;"A";142;"A"
121;"A";144;"A"
122;"A";143;"A"
122;"A";145;"A"
122;"A";146;"A"
122;"A";149;"A"
122;"A";321;"A"
122;"A";322;"A"
130;"A";150;"A"
140;"A";161;"A"
140;"A";162;"A"
140;"A";163;"A"
140;"A";164;"A"
140;"A";8130;"N"
140;"A";8541;"P"
140;"A";9609;"S"
150;"A";170;"A"
150;"A";9499;"S"
200;"A";121;"A"
200;"A";122;"A"
200;"A";123;"A"
200;"A";124;"A"
200;"A";125;"A"
200;"A";126;"A"
200;"A";127;"A"
200;"A";128;"A"
200;"A";129;"A"
200;"A";130;"A"
200;"A";210;"A"
200;"A";220;"A"
200;"A";230;"A"
200;"A";240;"A"
200;"A";1102;"C"
500;"B";311;"A"
500;"B";312;"A"
500;"B";321;"A"
500;"B";322;"A"
1010;"C";510;"B"
1010;"C";990;"B"
1010;"C";1920;"C"
1020;"C";520;"B"
1020;"C";990;"B"
1020;"C";1920;"C"
1030;"C";892;"B"
1030;"C";990;"B"
1110;"C";610;"B"
1110;"C";620;"B"
1110;"C";910;"B"
1120;"C";910;"B"
1200;"C";721;"B"
1200;"C";990;"B"
1310;"C";710;"B"
1310;"C";990;"B"
1320;"C";729;"B"
1320;"C";990;"B"
1410;"C";810;"B"
1410;"C";990;"B"
1421;"C";891;"B"
1421;"C";990;"B"
1422;"C";893;"B"
1422;"C";990;"B"
1429;"C";810;"B"
1429;"C";899;"B"
1429;"C";990;"B"
1511;"D";1010;"C"
1512;"D";1020;"C"
1512;"D";1075;"C"
1513;"D";1030;"C"
1513;"D";1075;"C"
1514;"D";1040;"C"
1520;"D";1050;"C"
1531;"D";1061;"C"
1532;"D";1062;"C"
1533;"D";1080;"C"
1541;"D";1071;"C"
1542;"D";1072;"C"
1543;"D";1073;"C"
1544;"D";1074;"C"
